number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,model,params_min_child_samples,params_reg_alpha,params_reg_lambda,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_random_strength,params_C,params_penalty,params_threshold
0,0.6940918097129875,2026-01-10 15:40:37.177762,2026-01-10 15:41:08.995838,0 days 00:00:31.818076,0.6624074561769746,0.2904180608409973,0.1205712628744377,10.0,2.0,144.0,0.8394633936788146,COMPLETE,xgb,,,,,,,,,,,
1,0.6874242519634947,2026-01-10 15:41:08.999841,2026-01-10 15:41:44.503411,0 days 00:00:35.503570,0.9879639408647978,1.0616955533913808,0.11114989443094977,7.0,9.0,267.0,0.608233797718321,COMPLETE,xgb,,,,,,,,,,,
2,0.7036163792360877,2026-01-10 15:41:44.505412,2026-01-10 15:41:58.036992,0 days 00:00:13.531580,0.7727780074568463,3.0592644736118975,0.028145092716060652,4.0,3.0,95.0,0.8099025726528951,COMPLETE,xgb,,,,,,,,,,,
3,0.7061530731556905,2026-01-10 15:41:58.038991,2026-01-10 15:42:12.365545,0 days 00:00:14.326554,0.9140703845572055,2.571172192068058,0.03476649150592621,5.0,2.0,85.0,0.7824279936868144,COMPLETE,xgb,,,,,,,,,,,
4,0.6969855882518919,2026-01-10 15:42:12.368546,2026-01-10 15:42:31.079999,0 days 00:00:18.711453,0.6260206371941118,4.828160165372797,0.07896186801026692,3.0,10.0,198.0,0.6682096494749166,COMPLETE,xgb,,,,,,,,,,,
5,0.7073684760046022,2026-01-10 15:42:31.082998,2026-01-10 15:43:01.227991,0 days 00:00:30.144993,0.7760609974958406,2.475884550556351,0.013940346079873234,5.0,2.0,252.0,0.8736932106048627,COMPLETE,xgb,,,,,,,,,,,
6,0.7122546629457306,2026-01-10 15:43:01.229988,2026-01-10 15:43:23.796495,0 days 00:00:22.566507,0.7246844304357644,2.7335513967163982,0.024112898115291985,10.0,6.0,58.0,0.8650089137415928,COMPLETE,xgb,,,,,,,,,,,
7,0.6930747155890246,2026-01-10 15:43:23.801503,2026-01-10 15:43:52.504520,0 days 00:00:28.703017,0.9579309401710595,4.609371175115584,0.13962563737015762,10.0,6.0,96.0,0.9757995766256756,COMPLETE,xgb,,,,,,,,,,,
8,0.6597889586704139,2026-01-10 15:43:52.511520,2026-01-10 15:44:06.466446,0 days 00:00:13.954926,0.7554709158757928,4.143687545759647,0.011662890273931383,4.0,3.0,72.0,0.7301321323053057,COMPLETE,xgb,,,,,,,,,,,
9,0.696766596111056,2026-01-10 15:44:06.468445,2026-01-10 15:44:24.554625,0 days 00:00:18.086180,0.9208787923016158,4.9344346830025865,0.06333268775321843,5.0,1.0,139.0,0.6563696899899051,COMPLETE,xgb,,,,,,,,,,,
10,0.6879472708974155,2026-01-10 15:44:24.561138,2026-01-10 15:44:43.006566,0 days 00:00:18.445428,0.7090747508804338,1.806559982209047,0.2704729722717776,8.0,6.0,178.0,0.9481974559098771,COMPLETE,xgb,,,,,,,,,,,
11,0.707495637853765,2026-01-10 15:44:43.009566,2026-01-10 15:45:35.180473,0 days 00:00:52.170907,0.8394474835577637,3.262052007161211,0.011319796787971872,8.0,5.0,294.0,0.887352152856701,COMPLETE,xgb,,,,,,,,,,,
12,0.6986513923040905,2026-01-10 15:45:35.182473,2026-01-10 15:46:18.808366,0 days 00:00:43.625893,0.8549798629502185,3.413191351346504,0.020488021513375938,8.0,8.0,290.0,0.9070231287033482,COMPLETE,xgb,,,,,,,,,,,
13,0.7035059128666123,2026-01-10 15:46:18.810365,2026-01-10 15:47:00.328822,0 days 00:00:41.518457,0.8421908588080281,3.5598890110670594,0.018500829916270126,9.0,5.0,223.0,0.9087696049520284,COMPLETE,xgb,,,,,,,,,,,
14,0.7091561771929246,2026-01-10 15:47:00.330822,2026-01-10 15:47:30.026961,0 days 00:00:29.696139,0.7101751682061666,2.0047798484102195,0.01006940728580515,9.0,5.0,131.0,0.7667698433310002,COMPLETE,xgb,,,,,,,,,,,
15,0.7125924508839002,2026-01-10 15:47:30.028960,2026-01-10 15:47:44.418750,0 days 00:00:14.389790,0.70342933803874,1.4469269115194994,0.03647917475522686,10.0,7.0,55.0,0.7800494724666923,COMPLETE,xgb,,,,,,,,,,,
16,0.7099633709688113,2026-01-10 15:47:44.420750,2026-01-10 15:48:00.895895,0 days 00:00:16.475145,0.6777993406390241,1.2381591871790687,0.04207208796452683,10.0,7.0,59.0,0.7227170675015305,COMPLETE,xgb,,,,,,,,,,,
17,0.7087451414098364,2026-01-10 15:48:00.897895,2026-01-10 15:48:14.542950,0 days 00:00:13.645055,0.6293337709740512,0.10456783241701961,0.025072323664169643,9.0,8.0,52.0,0.8307507539551429,COMPLETE,xgb,,,,,,,,,,,
18,0.7022661199746686,2026-01-10 15:48:14.544950,2026-01-10 15:48:30.448370,0 days 00:00:15.903420,0.7242757678791986,0.9718293594365575,0.04391113677856301,7.0,7.0,113.0,0.7472229116620763,COMPLETE,xgb,,,,,,,,,,,
19,0.6932800772601851,2026-01-10 15:48:30.450370,2026-01-10 15:49:01.316410,0 days 00:00:30.866040,0.6063672413983272,1.601698676289585,0.058173536325027995,10.0,4.0,159.0,0.8556866525110359,COMPLETE,xgb,,,,,,,,,,,
20,0.7057351333263723,2026-01-10 15:49:01.326411,2026-01-10 15:49:23.044601,0 days 00:00:21.718190,0.8120521611350879,2.411642870022627,0.018204830570137748,6.0,7.0,114.0,0.6896878265305065,COMPLETE,xgb,,,,,,,,,,,
21,0.7121726235518325,2026-01-10 15:49:23.045603,2026-01-10 15:49:36.868328,0 days 00:00:13.822725,0.6768342206270751,1.0601710383520055,0.039809051374458865,10.0,7.0,53.0,0.7398084390250932,COMPLETE,xgb,,,,,,,,,,,
22,0.7102252262364153,2026-01-10 15:49:36.870328,2026-01-10 15:49:51.155412,0 days 00:00:14.285084,0.6795157328858925,0.42692684485182175,0.0330672420748718,9.0,8.0,72.0,0.8037580698270996,COMPLETE,xgb,,,,,,,,,,,
23,0.7117660496209132,2026-01-10 15:49:51.157411,2026-01-10 15:50:04.079028,0 days 00:00:12.921617,0.7314745188984569,0.6946367822101492,0.04412477019262672,10.0,6.0,50.0,0.7727719116565922,COMPLETE,xgb,,,,,,,,,,,
24,0.7127484927330198,2026-01-10 15:50:04.082030,2026-01-10 15:50:18.880061,0 days 00:00:14.798031,0.6621048297242669,1.5069904782784755,0.02603524973787783,9.0,9.0,78.0,0.6994347093531768,COMPLETE,xgb,,,,,,,,,,,
25,0.7094542324050797,2026-01-10 15:50:18.882061,2026-01-10 15:50:37.814992,0 days 00:00:18.932931,0.6512464285794383,1.5522600626707437,0.024789108755235403,9.0,10.0,114.0,0.7056721855585127,COMPLETE,xgb,,,,,,,,,,,
26,0.7038213025561514,2026-01-10 15:50:37.816992,2026-01-10 15:50:52.023784,0 days 00:00:14.206792,0.7461087814572279,2.183212182886881,0.014197199481468494,8.0,9.0,82.0,0.624340160947248,COMPLETE,xgb,,,,,,,,,,,
27,0.6941997009242814,2026-01-10 15:50:52.025785,2026-01-10 15:51:08.885273,0 days 00:00:16.859488,0.6997836138435256,2.9556888423962553,0.0749246093605962,9.0,9.0,103.0,0.6524718078745506,COMPLETE,xgb,,,,,,,,,,,
28,0.7085684369990556,2026-01-10 15:51:08.886274,2026-01-10 15:51:21.020153,0 days 00:00:12.133879,0.7894662436357149,1.4693066087213549,0.029083541655521412,7.0,8.0,74.0,0.9336714096791311,COMPLETE,xgb,,,,,,,,,,,
29,0.705775098051361,2026-01-10 15:51:21.022155,2026-01-10 15:51:46.431559,0 days 00:00:25.409404,0.6493683700479091,3.9761794380471627,0.022935295250658468,10.0,4.0,153.0,0.8450071377308863,COMPLETE,xgb,,,,,,,,,,,
0,0.6879452896844566,2026-01-10 15:51:46.442559,2026-01-10 15:51:59.265375,0 days 00:00:12.822816,0.6624074561769746,,0.1205712628744377,10.0,,144.0,0.8394633936788146,COMPLETE,lgbm,19.0,3.3323645788192616e-08,0.6245760287469893,,,,,,,,
1,0.7056711983568733,2026-01-10 15:51:59.267375,2026-01-10 15:52:16.400092,0 days 00:00:17.132717,0.9329770563201687,,0.010725209743171996,8.0,,200.0,0.9879639408647978,COMPLETE,lgbm,25.0,4.329370014459266e-07,4.4734294104626844e-07,,,,,,,,
2,0.698265973170289,2026-01-10 15:52:16.403104,2026-01-10 15:52:28.921305,0 days 00:00:12.518201,0.8447411578889518,,0.04345454109729477,7.0,,126.0,0.7164916560792167,COMPLETE,lgbm,18.0,4.258943089524393e-06,1.9826980964985924e-05,,,,,,,,
3,0.7053612089954725,2026-01-10 15:52:28.923305,2026-01-10 15:52:44.102044,0 days 00:00:15.178739,0.836965827544817,,0.019721610970574007,9.0,,164.0,0.8056937753654446,COMPLETE,lgbm,9.0,0.0029369981104377003,3.425445902633376e-07,,,,,,,,
4,0.6864065056028422,2026-01-10 15:52:44.104046,2026-01-10 15:52:53.222947,0 days 00:00:09.118901,0.7218455076693483,,0.26690431824362526,10.0,,66.0,0.9233589392465844,COMPLETE,lgbm,14.0,0.014391207615728067,9.148975058772307e-05,,,,,,,,
5,0.682495186912857,2026-01-10 15:52:53.225957,2026-01-10 15:53:04.516016,0 days 00:00:11.290059,0.7035119926400067,,0.011240768803005551,6.0,,80.0,0.9637281608315128,COMPLETE,lgbm,68.0,6.388511557344611e-06,0.0004793052550782129,,,,,,,,
6,0.6853512532851047,2026-01-10 15:53:04.518014,2026-01-10 15:53:16.579726,0 days 00:00:12.061712,0.9757995766256756,,0.27051668818999286,4.0,,187.0,0.9100531293444458,COMPLETE,lgbm,90.0,0.002404915432737351,1.9809253750493907,,,,,,,,
7,0.6647435619049811,2026-01-10 15:53:16.581726,2026-01-10 15:53:25.538650,0 days 00:00:08.956924,0.7554709158757928,,0.011662890273931383,4.0,,72.0,0.7301321323053057,COMPLETE,lgbm,31.0,0.28749982347407854,1.6247252885719427e-05,,,,,,,,
8,0.7068440906014078,2026-01-10 15:53:25.540650,2026-01-10 15:53:38.592912,0 days 00:00:13.052262,0.6298202574719083,,0.016149614799999188,7.0,,120.0,0.9208787923016158,COMPLETE,lgbm,99.0,0.08916674715636537,6.143857495033091e-07,,,,,,,,
9,0.6946773732540907,2026-01-10 15:53:38.594912,2026-01-10 15:53:47.656712,0 days 00:00:09.061800,0.9085081386743783,,0.11069143219393454,9.0,,51.0,0.8916028672163949,COMPLETE,lgbm,12.0,1.683416412018213e-05,1.1036250149900698e-07,,,,,,,,
10,0.6953649326584169,2026-01-10 15:53:47.658711,2026-01-10 15:54:07.431363,0 days 00:00:19.772652,0.6058268031335812,,0.02847748683027988,6.0,,287.0,0.6071847502459279,COMPLETE,lgbm,92.0,4.922653156888205,0.012239414084831183,,,,,,,,
11,0.7002231789892267,2026-01-10 15:54:07.432363,2026-01-10 15:54:25.550335,0 days 00:00:18.117972,0.9687557027925864,,0.021545193084816946,7.0,,236.0,0.9783238879894852,COMPLETE,lgbm,48.0,4.077391468444027e-08,1.6033063589219013e-08,,,,,,,,
12,0.7055813655642532,2026-01-10 15:54:25.553332,2026-01-10 15:54:43.672466,0 days 00:00:18.119134,0.8917549317750566,,0.010149144625356814,8.0,,214.0,0.9882175921905896,COMPLETE,lgbm,59.0,0.10130492013778475,2.9536889586486034e-06,,,,,,,,
13,0.7073787017851402,2026-01-10 15:54:43.674466,2026-01-10 15:55:00.205221,0 days 00:00:16.530755,0.8056891692692755,,0.01664583391762972,5.0,,243.0,0.8611719000163913,COMPLETE,lgbm,44.0,8.773472263092467e-05,7.822766396682604e-07,,,,,,,,
14,0.6938091177269733,2026-01-10 15:55:00.208228,2026-01-10 15:55:17.131609,0 days 00:00:16.923381,0.7939797031748878,,0.039107547820079414,5.0,,277.0,0.8578694741072341,COMPLETE,lgbm,78.0,0.00014422243561457965,1.0808925719996066e-08,,,,,,,,
15,0.7036959377491488,2026-01-10 15:55:17.133609,2026-01-10 15:55:26.431885,0 days 00:00:09.298276,0.618935333007744,,0.07365245843013017,3.0,,114.0,0.7539871612489546,COMPLETE,lgbm,41.0,9.300500537094864,1.8615811097744353e-06,,,,,,,,
16,0.7061918675221456,2026-01-10 15:55:26.434885,2026-01-10 15:55:43.250583,0 days 00:00:16.815698,0.7704926631797286,,0.01853155253584087,5.0,,251.0,0.7956837064178911,COMPLETE,lgbm,75.0,0.00017783705706402869,0.0007042864892083259,,,,,,,,
17,0.7073740946255924,2026-01-10 15:55:43.252582,2026-01-10 15:55:53.807112,0 days 00:00:10.554530,0.8280523454430495,,0.029358488125881394,5.0,,105.0,0.87008422615197,COMPLETE,lgbm,99.0,0.17634411367059216,0.010664446312915552,,,,,,,,
18,0.7077075674479465,2026-01-10 15:55:53.809109,2026-01-10 15:56:04.604351,0 days 00:00:10.795242,0.8381282826211935,,0.03080147856778732,3.0,,162.0,0.6642164054514699,COMPLETE,lgbm,39.0,0.0014561469589187425,0.018581525458581882,,,,,,,,
19,0.7016794122648737,2026-01-10 15:56:04.607356,2026-01-10 15:56:14.916766,0 days 00:00:10.309410,0.8751637206117371,,0.06505157718985506,3.0,,157.0,0.6570382990806789,COMPLETE,lgbm,38.0,0.0011906175810361388,0.07670347321855203,,,,,,,,
20,0.7013576959901249,2026-01-10 15:56:14.918950,2026-01-10 15:56:29.321225,0 days 00:00:14.402275,0.7336838730241089,,0.03294322325936933,4.0,,245.0,0.670634512712613,COMPLETE,lgbm,55.0,2.638380572063778e-05,0.004939392464663154,,,,,,,,
21,0.7059143846218904,2026-01-10 15:56:29.323232,2026-01-10 15:56:39.593604,0 days 00:00:10.270372,0.8210467722853764,,0.025903275275550867,5.0,,98.0,0.8396862320847726,COMPLETE,lgbm,44.0,0.7321801064729332,0.088779567595789,,,,,,,,
22,0.7016647065617709,2026-01-10 15:56:39.595605,2026-01-10 15:56:51.218336,0 days 00:00:11.622731,0.8051527445808297,,0.0471231603106912,3.0,,220.0,0.7809394866918475,COMPLETE,lgbm,33.0,0.012541448099777112,0.010423418281235556,,,,,,,,
23,0.7064300943019698,2026-01-10 15:56:51.220336,2026-01-10 15:57:04.821175,0 days 00:00:13.600839,0.8635159097607085,,0.01521354213476072,5.0,,180.0,0.8544972273992636,COMPLETE,lgbm,60.0,0.019777216473456493,8.03806103896627,,,,,,,,
24,0.7062739093764158,2026-01-10 15:57:04.823171,2026-01-10 15:57:16.151595,0 days 00:00:11.328424,0.7817505635133843,,0.02395761836593318,4.0,,142.0,0.8841196764237744,COMPLETE,lgbm,50.0,0.00048387835775780806,0.0018860671045066927,,,,,,,,
25,0.6923955301280174,2026-01-10 15:57:16.154595,2026-01-10 15:57:35.908747,0 days 00:00:19.754152,0.9259308962023541,,0.03443774812077843,6.0,,300.0,0.601816824990231,COMPLETE,lgbm,65.0,8.24833150057588e-07,0.20668237736276296,,,,,,,,
26,0.7052047117309431,2026-01-10 15:57:35.911752,2026-01-10 15:57:45.191245,0 days 00:00:09.279493,0.8522847032658245,,0.059755906273421595,4.0,,92.0,0.8175378101743368,COMPLETE,lgbm,29.0,6.7908132631204e-05,9.616327697924234e-05,,,,,,,,
27,0.7053703684932048,2026-01-10 15:57:45.193245,2026-01-10 15:57:58.094471,0 days 00:00:12.901226,0.8169348315607244,,0.013787692358972432,3.0,,261.0,0.9497810948512524,COMPLETE,lgbm,78.0,1.3636734067052645,0.03459240313755184,,,,,,,,
28,0.6896186418098047,2026-01-10 15:57:58.096471,2026-01-10 15:58:12.133876,0 days 00:00:14.037405,0.6907939095057634,,0.08653887907490311,5.0,,198.0,0.7680971392396341,COMPLETE,lgbm,40.0,0.0005968994109134398,8.917637629507794e-05,,,,,,,,
29,0.7049742107006859,2026-01-10 15:58:12.135876,2026-01-10 15:58:25.094861,0 days 00:00:12.958985,0.8831802900204929,,0.02884743324049557,6.0,,142.0,0.688258099369144,COMPLETE,lgbm,5.0,0.007016413325450259,0.6499512265980885,,,,,,,,
0,0.6996253710184339,2026-01-10 15:58:25.106866,2026-01-10 16:00:11.931984,0 days 00:01:46.825118,,,0.1205712628744377,,,,,COMPLETE,catboost,,,,1.5601864044243652,10.0,144.0,0.0024430162614261413,1.5599452033620265,,,
1,0.7022967230313703,2026-01-10 16:00:11.933983,2026-01-10 16:00:50.090003,0 days 00:00:38.156020,,,0.07725378389307355,,,,,COMPLETE,catboost,,,,0.20584494295802447,9.0,64.0,0.023585940584142682,9.699098521619943,,,
2,0.7019246419474287,2026-01-10 16:00:50.093005,2026-01-10 16:02:08.964947,0 days 00:01:18.871942,,,0.01855998084649059,,,,,COMPLETE,catboost,,,,3.0424224295953772,4.0,258.0,4.4734294104626844e-07,5.247564316322379,,,
